PROXIMITY	AREA	SITE	LARGE PLOT #	SMALL PLOT #	TAG #	SPECIES	HEIGHT(cm)	13-Jan	13-Feb	13-Mar	13-Apr	13-May	13-Jun	13-Jul	13-Aug	13-Sep	13-Oct	13-Nov	13-Dec	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May
C	C1	PERUMPARA	L1	S1	1.1.1	Litsea sp.	453	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S1	1.1.2	Litsea sp.	102	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S1	1.1.3	Litsea sp.	101	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S2	2.1.1	Litsea sp.	201	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S2	2.1.2	Litsea sp.	149	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	D	D	D	D	D	D
C	C1	PERUMPARA	L1	S2	2.1.4	Litsea sp.	199	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S2	2.1.5	Litsea sp.	122	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S3	2.2.1	Canarium sp.	121	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S4	3.1.1	Dysoxylum sp	101	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S5	3.2.1	Litsea sp.	323	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S5	3.2.2	Litsea sp.	401	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S6	3.3.1	Litsea sp.	119	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S6	3.3.2	Litsea sp.	101	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S6	3.3.3	Litsea sp.	99	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S6	3.3.4	Alseodaphne sp.	452	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S7	3.3.5	Litsea sp.	399	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S8	4.2.1	Litsea sp.	201	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S9	4.3.1	Litsea sp.	249	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S9	4.3.2	Litsea sp.	152	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S9	4.3.3	Litsea sp.	98	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S10	4.4.1	Litsea sp.	151	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S10	4.4.2	Litsea sp.	149	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S10	4.4.3	Litsea sp.	103	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	D	D	D	D	D	D	D	D	D	D
C	C1	PERUMPARA	L1	S10	4.4.4	Alseodaphne sp.	103	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	D	D	D	D	D
C	C1	PERUMPARA	L1	S11	4.5.1	Dysoxylum sp	107	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S11	4.5.2	Litsea sp.	150	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
C	C1	PERUMPARA	L1	S11	4.5.3	Dysoxylum sp	170	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	D	D	D	D	D
